ds,alx,gco,mco
2022-01-01,579,2483,1408
2022-01-02,486,2213,1035
2022-01-03,1032,2856,1334
2022-01-04,697,2263,1320
2022-01-05,643,2207,1267
2022-01-06,649,2275,1267
2022-01-07,559,2527,1357
2022-01-08,566,2092,1128
2022-01-09,517,1816,1138
2022-01-10,726,2381,1413
2022-01-11,706,2299,1302
2022-01-12,645,2181,1358
2022-01-13,264,2375,1414
2022-01-14,603,2513,1340
2022-01-15,479,2123,1422
2022-01-16,426,2418,1162
2022-01-17,521,2055,1133
2022-01-18,708,2509,1398
2022-01-19,794,2326,1363
2022-01-20,611,2364,1384
2022-01-21,632,2345,1619
2022-01-22,521,1987,1450
2022-01-23,508,1858,1194
2022-01-24,683,2422,1471
2022-01-25,713,2326,1451
2022-01-26,615,2556,1262
2022-01-27,679,2361,1371
2022-01-28,580,2231,1348
2022-01-29,491,2053,1172
2022-01-30,388,1856,1168
2022-01-31,666,2262,1355
2022-02-01,703,2266,1336
2022-02-02,70,2179,1475
2022-02-03,589,2232,1271
2022-02-04,644,2564,1506
2022-02-05,566,2119,1509
2022-02-06,452,1798,1232
2022-02-07,651,2312,1477
2022-02-08,584,2148,1349
2022-02-09,689,2367,1421
2022-02-10,643,2495,1482
2022-02-11,654,2600,1593
2022-02-12,503,2229,1441
2022-02-13,411,1811,1214
2022-02-14,649,2278,1414
2022-02-15,639,2281,1506
2022-02-16,665,2385,1421
2022-02-17,643,2515,1473
2022-02-18,702,2510,1478
2022-02-19,536,2256,1295
2022-02-20,486,2157,1144
2022-02-21,682,2028,1188
2022-02-22,638,2231,1372
2022-02-23,780,2455,1473
2022-02-24,644,2350,1406
2022-02-25,670,2492,1640
2022-02-26,538,2098,1565
2022-02-27,502,1820,2181
2022-02-28,723,2409,1530
2022-03-01,732,2353,1508
2022-03-02,712,2442,1447
2022-03-03,691,2426,1426
2022-03-04,707,2478,1371
2022-03-05,534,2055,1224
2022-03-06,499,1826,1143
2022-03-07,689,2450,1486
2022-03-08,601,2201,1477
2022-03-09,640,2358,1333
2022-03-10,693,2238,1433
2022-03-11,643,2346,1648
2022-03-12,552,2120,1406
2022-03-13,455,1672,1240
2022-03-14,721,2295,1484
2022-03-15,732,2446,1428
2022-03-16,626,2104,1522
2022-03-17,782,2473,1268
2022-03-18,809,2294,1613
2022-03-19,658,2294,1357
2022-03-20,469,1889,1234
2022-03-21,739,2436,1493
2022-03-22,718,2324,1404
2022-03-23,635,2275,1403
2022-03-24,674,2202,1335
2022-03-25,708,2184,1452
2022-03-26,502,2210,1482
2022-03-27,476,1921,1277
2022-03-28,648,2363,1352
2022-03-29,669,2482,1356
2022-03-30,576,2145,1119
2022-03-31,658,2066,1256
2022-04-01,597,2547,1344
2022-04-02,579,2263,1403
2022-04-03,521,2156,1134
2022-04-04,717,2354,1502
2022-04-05,700,2305,1439
2022-04-06,817,2314,1661
2022-04-07,720,2475,1654
2022-04-08,730,2375,1650
2022-04-09,573,2052,1366
2022-04-10,455,1958,1294
2022-04-11,719,2416,1501
2022-04-12,659,2380,1366
2022-04-13,663,2661,1497
2022-04-14,666,2426,1667
2022-04-15,651,2590,1436
2022-04-16,648,2166,1295
2022-04-17,422,1865,1058
2022-04-18,601,2336,1362
2022-04-19,651,2328,1318
2022-04-20,611,2456,1378
2022-04-21,644,2333,1370
2022-04-22,721,2566,1507
2022-04-23,591,2265,1342
2022-04-24,572,2057,1299
2022-04-25,753,2473,1527
2022-04-26,687,2374,1359
2022-04-27,680,2567,674
2022-04-28,620,2536,577
2022-04-29,693,2620,616
2022-04-30,615,2329,736
2022-05-01,526,2010,714
2022-05-02,740,2577,658
2022-05-03,739,2706,1333
2022-05-04,737,2550,1586
2022-05-05,685,2771,1623
2022-05-06,668,2601,1698
2022-05-07,589,2396,1355
2022-05-08,458,1895,1394
2022-05-09,698,2427,1570
2022-05-10,721,2465,1581
2022-05-11,685,2547,1368
2022-05-12,623,2685,1491
2022-05-13,790,2521,1527
2022-05-14,645,2157,1488
2022-05-15,532,1996,1528
2022-05-16,716,2546,1620
2022-05-17,639,2346,1483
2022-05-18,683,2539,1600
2022-05-19,714,2520,1423
2022-05-20,743,2621,1490
2022-05-21,617,2321,1478
2022-05-22,628,2139,1152
2022-05-23,735,2522,610
2022-05-24,752,2445,689
2022-05-25,726,2370,659
2022-05-26,676,2439,782
2022-05-27,684,2627,1767
2022-05-28,638,2329,1547
2022-05-29,524,1979,1458
2022-05-30,546,2048,1416
2022-05-31,735,2546,1719
2022-06-01,750,2746,1428
2022-06-02,743,2586,1551
2022-06-03,678,2696,1675
2022-06-04,585,2419,1517
2022-06-05,526,2083,1483
2022-06-06,804,2593,1557
2022-06-07,698,2316,1654
2022-06-08,841,2501,1577
2022-06-09,760,2455,1511
2022-06-10,770,2462,1754
2022-06-11,655,2252,1713
2022-06-12,502,2061,1475
2022-06-13,349,2488,1653
2022-06-14,0,2412,1599
2022-06-15,433,2559,1526
2022-06-16,688,2525,1437
2022-06-17,814,2657,1457
2022-06-18,712,2413,1523
2022-06-19,516,1998,1399
2022-06-20,690,2391,1659
2022-06-21,872,2540,1565
2022-06-22,745,2400,1783
2022-06-23,699,2599,1562
2022-06-24,733,2380,1725
2022-06-25,718,2301,1649
2022-06-26,543,2073,1313
2022-06-27,709,2471,1678
2022-06-28,695,2348,1574
2022-06-29,762,2437,1611
2022-06-30,801,2486,1569
2022-07-01,721,2519,1859
2022-07-02,547,2249,1533
2022-07-03,553,2210,1483
2022-07-04,621,2271,2043
2022-07-05,736,2741,1891
2022-07-06,681,2511,1539
2022-07-07,726,2589,1593
2022-07-08,720,2505,1640
2022-07-09,667,2286,1582
2022-07-10,590,2014,1470
2022-07-11,779,2472,1503
2022-07-12,814,2458,1488
2022-07-13,753,2549,1518
2022-07-14,728,2411,1508
2022-07-15,760,2533,1636
2022-07-16,748,2287,1574
2022-07-17,765,2106,1430
2022-07-18,732,2399,1733
2022-07-19,660,2517,1585
2022-07-20,765,2489,1443
2022-07-21,728,2414,1585
2022-07-22,777,2462,1510
2022-07-23,723,2220,1426
2022-07-24,527,2074,1309
2022-07-25,763,2436,1518
2022-07-26,708,2322,1513
2022-07-27,747,2437,1510
2022-07-28,702,2485,1519
2022-07-29,712,2487,1565
2022-07-30,625,2297,1556
2022-07-31,504,2089,1366
2022-08-01,761,2234,1454
2022-08-02,767,2566,1507
2022-08-03,705,2413,1564
2022-08-04,825,2621,1549
2022-08-05,768,2575,1485
2022-08-06,740,2361,1582
2022-08-07,601,2091,1491
2022-08-08,757,2619,1546
2022-08-09,663,2532,1641
2022-08-10,739,2625,1575
2022-08-11,731,2489,1552
2022-08-12,735,2494,1496
2022-08-13,618,2307,1618
2022-08-14,505,1950,1430
2022-08-15,714,2384,1608
2022-08-16,818,2381,1421
2022-08-17,749,2419,1440
2022-08-18,707,2320,1558
2022-08-19,709,2413,1680
2022-08-20,540,2185,1618
2022-08-21,494,2117,1386
2022-08-22,682,2321,1569
2022-08-23,672,2385,1579
2022-08-24,783,2539,1583
2022-08-25,620,2481,1468
2022-08-26,676,2424,1672
2022-08-27,637,2286,1610
2022-08-28,586,1849,1330
2022-08-29,700,2466,1496
2022-08-30,694,2575,1537
2022-08-31,737,2262,1473
2022-09-01,715,2446,1513
2022-09-02,713,2514,1489
2022-09-03,646,2312,1439
2022-09-04,560,2078,1615
2022-09-05,484,1908,1635
2022-09-06,686,2480,1672
2022-09-07,786,2359,1636
2022-09-08,693,2450,1724
2022-09-09,676,2509,1682
2022-09-10,632,2062,1470
2022-09-11,536,1876,1507
2022-09-12,672,2487,1586
2022-09-13,687,2411,1660
2022-09-14,676,2400,1865
2022-09-15,715,2518,1640
2022-09-16,646,2397,1795
2022-09-17,655,2148,1544
2022-09-18,549,2079,1520
2022-09-19,734,2694,1660
2022-09-20,662,2560,1653
2022-09-21,652,2570,1478
2022-09-22,705,2539,1672
2022-09-23,706,2644,1741
2022-09-24,513,2294,1500
2022-09-25,581,1852,1464
2022-09-26,776,2426,1620
2022-09-27,690,2298,1562
2022-09-28,728,2407,1545
2022-09-29,592,2616,1598
2022-09-30,613,2213,1749
2022-10-01,562,1967,1422
2022-10-02,490,1865,1705
2022-10-03,672,2384,1628
2022-10-04,634,2550,1548
2022-10-05,593,2735,1532
2022-10-06,617,2591,1535
2022-10-07,661,2603,1772
2022-10-08,514,2370,1520
2022-10-09,423,1938,1233
2022-10-10,613,2401,1391
2022-10-11,738,2581,1405
2022-10-12,687,2449,1418
2022-10-13,677,2452,1445
2022-10-14,688,2591,1482
2022-10-15,617,2253,1446
2022-10-16,486,2048,1448
2022-10-17,784,2461,1425
2022-10-18,611,2282,1576
2022-10-19,799,2403,1731
2022-10-20,706,2484,1584
2022-10-21,806,2665,1680
2022-10-22,635,2215,1402
2022-10-23,497,2046,1299
2022-10-24,624,2646,1654
2022-10-25,679,2514,1515
2022-10-26,657,2470,1441
2022-10-27,662,2510,1600
2022-10-28,633,2593,1625
2022-10-29,582,2346,1651
2022-10-30,520,2000,1310
2022-10-31,649,2603,1546
2022-11-01,703,2651,1538
2022-11-02,631,2403,1501
2022-11-03,684,2427,1502
2022-11-04,707,2688,1654
2022-11-05,617,2307,1425
2022-11-06,522,2285,1284
2022-11-07,653,2595,1511
2022-11-08,577,2656,1467
2022-11-09,686,2598,1585
2022-11-10,661,2504,1513
2022-11-11,635,2405,1370
2022-11-12,643,2076,1338
2022-11-13,430,1961,1212
2022-11-14,688,2486,1439
2022-11-15,592,2272,1438
2022-11-16,762,2368,1463
2022-11-17,697,2347,1503
2022-11-18,670,2322,1407
2022-11-19,566,1941,1507
2022-11-20,472,1741,1247
2022-11-21,654,2505,1370
2022-11-22,418,2260,1350
2022-11-23,636,2370,1512
2022-11-24,359,1678,1142
2022-11-25,425,1941,1311
2022-11-26,505,1878,1178
2022-11-27,398,1955,1171
2022-11-28,660,2362,1500
2022-11-29,697,2229,1539
2022-11-30,651,2479,1360
2022-12-01,629,2517,1266
2022-12-02,661,2423,1471
2022-12-03,629,2079,1264
2022-12-04,539,1908,1165
2022-12-05,735,2579,1485
2022-12-06,710,2421,1443
2022-12-07,756,2537,1364
2022-12-08,690,2549,1344
2022-12-09,764,2696,1452
2022-12-10,613,2347,1663
2022-12-11,544,2074,1420
2022-12-12,617,2515,1509
2022-12-13,619,2387,1604
2022-12-14,692,2217,1580
2022-12-15,578,2546,1425
2022-12-16,646,2507,1551
2022-12-17,609,2067,1344
2022-12-18,507,1976,1210
2022-12-19,706,2326,1378
2022-12-20,590,2093,1338
2022-12-21,718,2345,1352
2022-12-22,595,2334,1504
2022-12-23,680,3041,1391
2022-12-24,729,2855,1282
2022-12-25,503,2187,1322
2022-12-26,475,2096,1163
2022-12-27,668,2152,1510
2022-12-28,660,2201,1418
2022-12-29,649,2330,1263
2022-12-30,606,2399,1355
2022-12-31,534,2221,1591
2023-01-01,546,2220,1509
2023-01-02,553,2177,1250
2023-01-03,770,2567,1403
2023-01-04,714,2652,1783
2023-01-05,704,2575,1452
2023-01-06,690,2636,1487
