ds,alx,gco,mco
4/1/2023 00:00,14,73,33
4/1/2023 01:00,25,81,19
4/1/2023 02:00,10,48,29
4/1/2023 03:00,13,50,24
4/1/2023 04:00,11,35,9
4/1/2023 05:00,9,33,19
4/1/2023 06:00,14,39,31
4/1/2023 07:00,19,37,46
4/1/2023 08:00,21,74,34
4/1/2023 09:00,20,99,60
4/1/2023 10:00,26,96,71
4/1/2023 11:00,19,114,63
4/1/2023 12:00,26,109,81
4/1/2023 13:00,28,89,83
4/1/2023 14:00,30,116,94
4/1/2023 15:00,35,134,64
4/1/2023 16:00,24,171,86
4/1/2023 17:00,25,174,83
4/1/2023 18:00,87,197,75
4/1/2023 19:00,49,150,68
4/1/2023 20:00,56,142,75
4/1/2023 21:00,57,133,86
4/1/2023 22:00,64,134,70
4/1/2023 23:00,45,98,52
4/2/2023 00:00,42,83,40
4/2/2023 01:00,11,66,37
4/2/2023 02:00,17,83,28
4/2/2023 03:00,15,66,25
4/2/2023 04:00,10,54,15
4/2/2023 05:00,16,31,8
4/2/2023 06:00,9,41,23
4/2/2023 07:00,14,53,32
4/2/2023 08:00,20,60,36
4/2/2023 09:00,38,91,69
4/2/2023 10:00,37,97,44
4/2/2023 11:00,26,105,55
4/2/2023 12:00,24,124,65
4/2/2023 13:00,34,107,80
4/2/2023 14:00,40,128,74
4/2/2023 15:00,44,111,54
4/2/2023 16:00,25,137,43
4/2/2023 17:00,15,132,83
4/2/2023 18:00,31,151,71
4/2/2023 19:00,21,128,69
4/2/2023 20:00,18,131,59
4/2/2023 21:00,23,84,41
4/2/2023 22:00,21,89,43
4/2/2023 23:00,17,50,28
4/3/2023 00:00,29,53,29
4/3/2023 01:00,9,31,19
4/3/2023 02:00,14,29,16
4/3/2023 03:00,15,30,10
4/3/2023 04:00,2,37,16
4/3/2023 05:00,9,34,10
4/3/2023 06:00,14,41,21
4/3/2023 07:00,26,74,35
4/3/2023 08:00,29,126,102
4/3/2023 09:00,34,145,94
4/3/2023 10:00,49,135,90
4/3/2023 11:00,40,165,99
4/3/2023 12:00,49,186,65
4/3/2023 13:00,49,143,81
4/3/2023 14:00,31,170,90
4/3/2023 15:00,37,156,138
4/3/2023 16:00,37,189,124
4/3/2023 17:00,25,141,118
4/3/2023 18:00,37,113,82
4/3/2023 19:00,23,109,87
4/3/2023 20:00,27,85,82
4/3/2023 21:00,30,100,42
4/3/2023 22:00,25,54,38
4/3/2023 23:00,26,56,29
4/4/2023 00:00,14,38,30
4/4/2023 01:00,17,36,14
4/4/2023 02:00,5,28,17
4/4/2023 03:00,24,17,13
4/4/2023 04:00,11,32,9
4/4/2023 05:00,7,40,18
4/4/2023 06:00,17,78,43
4/4/2023 07:00,21,82,49
4/4/2023 08:00,48,113,59
4/4/2023 09:00,40,138,71
4/4/2023 10:00,52,142,75
4/4/2023 11:00,36,170,105
4/4/2023 12:00,47,146,101
4/4/2023 13:00,38,166,93
4/4/2023 14:00,37,177,110
4/4/2023 15:00,44,191,110
4/4/2023 16:00,30,177,100
4/4/2023 17:00,39,223,97
4/4/2023 18:00,30,136,83
4/4/2023 19:00,25,167,61
4/4/2023 20:00,37,120,88
4/4/2023 21:00,27,88,42
4/4/2023 22:00,22,109,38
4/4/2023 23:00,34,55,23
4/5/2023 00:00,40,60,20
4/5/2023 01:00,22,54,9
4/5/2023 02:00,21,44,22
4/5/2023 03:00,14,38,9
4/5/2023 04:00,13,23,6
4/5/2023 05:00,8,27,11
4/5/2023 06:00,12,42,41
4/5/2023 07:00,16,79,37
4/5/2023 08:00,62,110,65
4/5/2023 09:00,38,134,68
4/5/2023 10:00,52,115,85
4/5/2023 11:00,41,143,87
4/5/2023 12:00,47,156,92
4/5/2023 13:00,41,166,95
4/5/2023 14:00,50,172,94
4/5/2023 15:00,34,184,96
4/5/2023 16:00,49,158,99
4/5/2023 17:00,66,158,71
4/5/2023 18:00,35,148,92
4/5/2023 19:00,27,149,81
4/5/2023 20:00,21,114,58
4/5/2023 21:00,26,136,57
4/5/2023 22:00,27,91,53
4/5/2023 23:00,22,70,33
4/6/2023 00:00,18,76,27
4/6/2023 01:00,10,39,20
4/6/2023 02:00,9,41,16
4/6/2023 03:00,8,38,10
4/6/2023 04:00,10,27,20
4/6/2023 05:00,18,26,17
4/6/2023 06:00,20,62,35
4/6/2023 07:00,22,77,42
4/6/2023 08:00,52,112,77
4/6/2023 09:00,34,130,102
4/6/2023 10:00,60,140,106
4/6/2023 11:00,33,146,88
4/6/2023 12:00,37,180,90
4/6/2023 13:00,31,142,115
4/6/2023 14:00,36,127,116
4/6/2023 15:00,29,156,108
4/6/2023 16:00,58,152,106
4/6/2023 17:00,42,155,107
4/6/2023 18:00,31,171,100
4/6/2023 19:00,16,109,79
4/6/2023 20:00,29,115,63
4/6/2023 21:00,16,93,57
4/6/2023 22:00,25,135,50
4/6/2023 23:00,14,73,47
4/7/2023 00:00,14,78,30
4/7/2023 01:00,10,81,32
4/7/2023 02:00,25,44,18
4/7/2023 03:00,22,28,16
4/7/2023 04:00,10,43,19
4/7/2023 05:00,12,38,22
4/7/2023 06:00,17,59,29
4/7/2023 07:00,24,66,63
4/7/2023 08:00,32,99,69
4/7/2023 09:00,22,120,53
4/7/2023 10:00,45,129,90
4/7/2023 11:00,44,148,101
4/7/2023 12:00,40,153,94
4/7/2023 13:00,33,189,85
4/7/2023 14:00,45,169,114
4/7/2023 15:00,30,152,103
4/7/2023 16:00,28,137,117
4/7/2023 17:00,47,165,106
4/7/2023 18:00,38,145,121
4/7/2023 19:00,26,143,103
4/7/2023 20:00,26,129,84
4/7/2023 21:00,31,148,91
4/7/2023 22:00,23,69,96
4/7/2023 23:00,24,72,40
4/8/2023 00:00,13,64,26
4/8/2023 01:00,11,68,43
4/8/2023 02:00,16,41,44
4/8/2023 03:00,21,40,17
4/8/2023 04:00,7,33,21
4/8/2023 05:00,10,31,21
4/8/2023 06:00,9,32,28
4/8/2023 07:00,8,62,54
4/8/2023 08:00,16,68,73
4/8/2023 09:00,29,118,71
4/8/2023 10:00,28,109,91
4/8/2023 11:00,40,119,66
4/8/2023 12:00,27,114,84
4/8/2023 13:00,43,104,103
4/8/2023 14:00,34,117,102
4/8/2023 15:00,35,82,120
4/8/2023 16:00,28,82,85
4/8/2023 17:00,30,114,98
4/8/2023 18:00,29,108,95
4/8/2023 19:00,22,147,126
4/8/2023 20:00,29,108,61
4/8/2023 21:00,29,66,76
4/8/2023 22:00,19,108,114
4/8/2023 23:00,38,81,59
4/9/2023 00:00,14,83,62
4/9/2023 01:00,8,54,37
4/9/2023 02:00,20,88,23
4/9/2023 03:00,13,65,30
4/9/2023 04:00,8,38,9
4/9/2023 05:00,7,37,32
4/9/2023 06:00,11,27,28
4/9/2023 07:00,12,70,26
4/9/2023 08:00,19,46,78
4/9/2023 09:00,23,62,47
4/9/2023 10:00,19,67,75
4/9/2023 11:00,19,72,78
4/9/2023 12:00,33,107,73
4/9/2023 13:00,24,83,102
4/9/2023 14:00,34,118,120
4/9/2023 15:00,30,114,87
4/9/2023 16:00,21,113,83
4/9/2023 17:00,28,123,77
4/9/2023 18:00,22,89,127
4/9/2023 19:00,25,116,86
4/9/2023 20:00,20,91,81
4/9/2023 21:00,18,83,97
4/9/2023 22:00,17,100,80
4/9/2023 23:00,23,59,42
4/10/2023 00:00,14,51,61
4/10/2023 01:00,9,55,48
4/10/2023 02:00,16,44,32
4/10/2023 03:00,13,29,16
4/10/2023 04:00,6,28,18
4/10/2023 05:00,11,32,15
4/10/2023 06:00,21,60,29
4/10/2023 07:00,30,76,54
4/10/2023 08:00,30,111,72
4/10/2023 09:00,32,124,106
4/10/2023 10:00,44,138,88
4/10/2023 11:00,30,120,89
4/10/2023 12:00,34,131,115
4/10/2023 13:00,50,137,105
4/10/2023 14:00,51,148,94
4/10/2023 15:00,42,151,99
4/10/2023 16:00,37,145,102
4/10/2023 17:00,35,150,94
4/10/2023 18:00,48,141,81
4/10/2023 19:00,31,133,81
4/10/2023 20:00,26,105,58
4/10/2023 21:00,25,92,76
4/10/2023 22:00,29,72,53
4/10/2023 23:00,28,69,27
4/11/2023 00:00,20,54,13
4/11/2023 01:00,21,31,16
4/11/2023 02:00,17,21,11
4/11/2023 03:00,13,36,11
4/11/2023 04:00,10,31,7
4/11/2023 05:00,10,26,26
4/11/2023 06:00,16,47,27
4/11/2023 07:00,24,74,33
4/11/2023 08:00,23,136,74
4/11/2023 09:00,38,114,101
4/11/2023 10:00,48,99,81
4/11/2023 11:00,46,140,100
4/11/2023 12:00,45,142,76
4/11/2023 13:00,47,151,83
4/11/2023 14:00,58,156,96
4/11/2023 15:00,43,135,113
4/11/2023 16:00,48,155,96
4/11/2023 17:00,46,176,84
4/11/2023 18:00,34,159,77
4/11/2023 19:00,36,144,91
4/11/2023 20:00,20,117,57
4/11/2023 21:00,31,119,64
4/11/2023 22:00,23,78,47
4/11/2023 23:00,11,51,30
4/12/2023 00:00,29,48,23
4/12/2023 01:00,7,49,14
4/12/2023 02:00,5,43,23
4/12/2023 03:00,12,17,23
4/12/2023 04:00,8,19,6
4/12/2023 05:00,13,20,11
4/12/2023 06:00,16,42,21
4/12/2023 07:00,26,88,54
4/12/2023 08:00,37,132,93
4/12/2023 09:00,57,126,68
4/12/2023 10:00,45,117,79
4/12/2023 11:00,34,165,93
4/12/2023 12:00,37,159,110
4/12/2023 13:00,47,173,98
4/12/2023 14:00,37,136,86
4/12/2023 15:00,39,149,87
4/12/2023 16:00,55,159,74
4/12/2023 17:00,32,154,88
