ds,alx,gco,mco
01-2019,18551,71234,44322
02-2019,16694,64044,42056
03-2019,19377,72819,44841
04-2019,19272,74810,45071
05-2019,20445,78998,47699
06-2019,15818,73326,46945
07-2019,21734,76369,47879
08-2019,20742,77252,50165
09-2019,19782,74136,47355
10-2019,20403,74318,47834
11-2019,18625,67266,43860
12-2019,18420,71716,43317
01-2020,18837,70188,41937
02-2020,18167,65051,41230
03-2020,18886,68979,41276
04-2020,15207,63023,37210
05-2020,16742,71510,43525
06-2020,17885,72452,45788
07-2020,20504,75125,46922
08-2020,19398,72521,49399
09-2020,18806,68753,45350
10-2020,19296,76545,49478
11-2020,17220,69063,41595
12-2020,16957,71607,40904
01-2021,19737,69239,41705
02-2021,14715,63757,38119
03-2021,17805,71671,42502
04-2021,18189,72068,42032
05-2021,19375,75800,46279
06-2021,22185,77946,47233
07-2021,21057,80154,48021
08-2021,20072,77953,48965
09-2021,19536,76177,48058
10-2021,20182,77517,47022
11-2021,20177,69054,42544
12-2021,19288,70875,42043
01-2022,19047,70533,40834
02-2022,17286,63385,39492
03-2022,19968,69768,42977
04-2022,19276,70564,38075
05-2022,20582,74641,41685
06-2022,19690,72648,47337
07-2022,21285,73839,48227
08-2022,21423,73684,47548
09-2022,19579,70547,48234
10-2022,19556,74016,46969
11-2022,18102,68790,42194
12-2022,19481,73225,43537
01-2023,19201,71447,44694
02-2023,17495,65996,39174
03-2023,20841,74078,46682
04-2023,21344,72090,44237
05-2023,22601,77392,46145
06-2023,22337,76875,45145
07-2023,23607,76713,47232
08-2023,22810,75158,47982
09-2023,21087,69929,45213
10-2023,21672,74091,45466
11-2023,18458,69873,39662
12-2023,18451,69517,37644
