ds,alx,gco,mco
2018-12-30,2937,12210,6936
2019-01-06,4441,16177,9939
2019-01-13,3806,15999,10519
2019-01-20,4249,14618,9856
2019-01-27,4329,16000,10555
2019-02-03,4102,16428,10421
2019-02-10,4140,15931,11005
2019-02-17,4092,15404,9814
2019-02-24,4329,16391,10413
2019-03-03,4984,15830,9129
2019-03-10,4160,16634,10480
2019-03-17,4090,16678,9992
2019-03-24,4446,16842,10373
2019-03-31,4479,17348,10555
2019-04-07,1657,17841,10799
2019-04-14,4368,16970,10131
2019-04-21,4449,17116,10518
2019-04-28,4572,17744,10431
2019-05-05,4522,17743,10454
2019-05-12,4442,17228,11307
2019-05-19,4678,18188,10892
2019-05-26,4716,18089,10284
2019-06-02,4700,17490,11055
2019-06-09,1902,16940,11848
2019-06-16,3889,17158,10721
2019-06-23,894,17165,10523
2019-06-30,4571,17113,11297
2019-07-07,5300,17557,10360
2019-07-14,4915,17336,10620
2019-07-21,4639,16672,10762
2019-07-28,4819,17395,10962
2019-08-04,4699,17766,11000
2019-08-11,4740,17569,11913
2019-08-18,4760,17482,11238
2019-08-25,4527,16803,11296
2019-09-01,4431,17280,10808
2019-09-08,4508,17798,11523
2019-09-15,4831,17391,11107
2019-09-22,4632,16960,11089
2019-09-29,4754,17555,10916
2019-10-06,4647,16821,10738
2019-10-13,4381,16058,10337
2019-10-20,4581,16555,11307
2019-10-27,4771,16924,10334
2019-11-03,4561,15933,10504
2019-11-10,4460,15763,10371
2019-11-17,4424,16094,10654
2019-11-24,3829,14696,9361
2019-12-01,4609,16308,10601
2019-12-08,3893,16785,10323
2019-12-15,4573,16757,9619
2019-12-22,3662,14907,8562
2019-12-29,3937,15995,9145
2020-01-05,4345,16401,9086
2020-01-12,4279,15869,9250
2020-01-19,4187,15456,9778
2020-01-26,4263,15627,9812
2020-02-02,4610,16185,9853
2020-02-09,4697,16297,10117
2020-02-16,4180,15182,9913
2020-02-23,4189,15385,9864
2020-03-01,4568,16356,9569
2020-03-08,4815,16475,10376
2020-03-15,4138,15481,9419
2020-03-22,3695,14527,8277
2020-03-29,3824,14837,8353
2020-04-05,3707,14354,8231
2020-04-12,3633,14794,8516
2020-04-19,3183,14474,9119
2020-04-26,3607,14981,9656
2020-05-03,3707,15759,9876
2020-05-10,3979,15748,9380
2020-05-17,3651,16953,9747
2020-05-24,3858,16666,10162
2020-05-31,4315,16646,11077
2020-06-07,4139,17107,10507
2020-06-14,3948,16287,10382
2020-06-21,4122,17325,10528
2020-06-28,4293,17399,11694
2020-07-05,4831,16842,10503
2020-07-12,4116,16733,10228
2020-07-19,5149,16582,10229
2020-07-26,4495,16983,10152
2020-08-02,4702,16445,9981
2020-08-09,4168,16318,11415
2020-08-16,4419,16731,13218
2020-08-23,4321,16415,10471
2020-08-30,4513,16235,10184
2020-09-06,4281,16141,10848
2020-09-13,4275,16037,10522
2020-09-20,4345,15756,10362
2020-09-27,4537,16121,11579
2020-10-04,4298,16351,11174
2020-10-11,4191,16963,11384
2020-10-18,4502,16486,10854
2020-10-25,4429,19450,10679
2020-11-01,4184,17159,9998
2020-11-08,4235,16388,9825
2020-11-15,4218,16296,10069
2020-11-22,3462,14717,9157
2020-11-29,4167,16317,9553
2020-12-06,3929,16122,9294
2020-12-13,3869,16784,9236
2020-12-20,3574,15326,8845
2020-12-27,6370,15962,9067
2021-01-03,4012,15902,8886
2021-01-10,4000,15415,9321
2021-01-17,3807,15833,9363
2021-01-24,3712,15948,10301
2021-01-31,3627,16009,10075
2021-02-07,3844,16422,9496
2021-02-14,3436,15590,9217
2021-02-21,3796,15612,9406
2021-02-28,3838,15805,9584
2021-03-07,3895,16339,9163
2021-03-14,3887,15759,9398
2021-03-21,4200,16600,9750
2021-03-28,4029,15909,10237
2021-04-04,4342,16257,9853
2021-04-11,4009,16438,9947
2021-04-18,4092,16538,9435
2021-04-25,4611,17208,9763
2021-05-02,4495,17072,10022
2021-05-09,4400,16267,10354
2021-05-16,4405,17308,10688
2021-05-23,4624,18375,10838
2021-05-30,4346,17140,10767
2021-06-06,4745,18715,10781
2021-06-13,5975,18738,11320
2021-06-20,5298,18110,11026
2021-06-27,4712,17298,11478
2021-07-04,4635,17133,11363
2021-07-11,5429,19223,10616
2021-07-18,4606,17715,10327
2021-07-25,4422,17952,10531
2021-08-01,4369,17352,10950
2021-08-08,4582,18049,11169
2021-08-15,4711,17440,11035
2021-08-22,4530,17782,10964
2021-08-29,4530,17262,11300
2021-09-05,4300,18015,11169
2021-09-12,4741,17998,11099
2021-09-19,4865,17634,11490
2021-09-26,4951,17586,10998
2021-10-03,4703,17710,10442
2021-10-10,4451,17820,10512
2021-10-17,4609,17358,10615
2021-10-24,4517,17525,10939
2021-10-31,4496,16560,10160
2021-11-07,4825,17160,10187
2021-11-14,4637,16591,10390
2021-11-21,4925,14490,9032
2021-11-28,4485,16174,9836
2021-12-05,4742,16366,9765
2021-12-12,4705,16519,9688
2021-12-19,3905,15604,8892
2021-12-26,3805,15604,9408
2022-01-02,4632,16433,8708
2022-01-09,4300,15688,9387
2022-01-16,4213,16004,9509
2022-01-23,4269,15807,9299
2022-01-30,4256,15478,9620
2022-02-06,4176,15979,9995
2022-02-13,4245,16036,9801
2022-02-20,4438,15811,8888
2022-02-27,4621,15983,9787
2022-03-06,4317,15539,9926
2022-03-13,4783,15578,9912
2022-03-20,4442,15520,9803
2022-03-27,4206,16187,9107
2022-04-03,4778,16031,10406
2022-04-10,4461,16597,10056
2022-04-17,4241,16139,9335
2022-04-24,4620,16987,6824
2022-05-01,4684,17611,8907
2022-05-08,4620,16697,10356
2022-05-15,4644,16889,10623
2022-05-22,4829,16871,7206
2022-05-29,4561,17020,10764
2022-06-05,5054,16662,11249
2022-06-12,3498,17115,10670
2022-06-19,4872,16609,11342
2022-06-26,4781,16583,11297
2022-07-03,4704,17113,11771
2022-07-10,5172,16724,10697
2022-07-17,4850,16607,10509
2022-07-24,4784,16538,10492
2022-07-31,5060,16859,10507
2022-08-07,4844,17157,10919
2022-08-14,4742,16052,10785
2022-08-21,4564,16553,10867
2022-08-28,4791,16424,10277
2022-09-04,4417,15846,11434
2022-09-11,4587,16237,11597
2022-09-18,4521,17380,11224
2022-09-25,4542,15779,10960
2022-10-02,4181,17098,11240
2022-10-09,4443,16665,9820
2022-10-16,4877,16558,10846
2022-10-23,4334,17125,10785
2022-10-30,4501,17179,10476
2022-11-06,4477,17119,9928
2022-11-13,4405,15697,9569
2022-11-20,3472,14373,9110
2022-11-27,4325,16044,9571
2022-12-04,4807,17037,9916
2022-12-11,4335,16313,10493
2022-12-18,4325,17070,9505
2022-12-25,4095,15786,9622
2023-01-01,4464,17134,10129
2023-01-08,4159,16200,10893
2023-01-15,4312,15918,9632
2023-01-22,4391,15645,10085
2023-01-29,4067,15942,9746
2023-02-05,4583,16804,9941
2023-02-12,4672,16564,9915
2023-02-19,4537,16554,9612
2023-02-26,4387,16577,9791
2023-03-05,789,17045,11339
2023-03-12,4621,16119,11189
2023-03-19,4352,15979,9720
2023-03-26,4930,17474,9913
2023-04-02,4617,16986,10461
2023-04-09,4814,16600,10347
2023-04-16,5586,17273,10295
2023-04-23,5009,16702,10476
2023-04-30,5063,17837,10295
2023-05-07,5140,18113,10487
2023-05-14,5176,17515,10287
2023-05-21,5122,17130,10854
2023-05-28,5123,17283,10135
2023-06-04,5206,17459,10380
2023-06-11,5241,17629,10348
2023-06-18,4994,17579,10576
2023-06-25,5123,18313,11112
2023-07-02,5312,17589,12238
2023-07-09,5263,17550,10071
2023-07-16,5345,17430,10151
2023-07-23,5647,17170,10393
2023-07-30,5043,16643,10145
2023-08-06,5380,17863,10548
2023-08-13,5281,17148,11319
2023-08-20,4929,16582,11021
2023-08-27,4858,16259,10552
2023-09-03,4635,16114,10738
2023-09-10,4961,16340,10094
2023-09-17,4902,16069,10748
2023-09-24,5289,16561,10683
2023-10-01,5267,16676,10953
2023-10-08,4758,16357,10087
2023-10-15,4697,16617,10034
2023-10-22,4931,17270,9828
2023-10-29,4681,17368,10785
2023-11-05,4330,16720,9723
2023-11-12,4508,16774,9131
2023-11-19,3881,14508,8445
2023-11-26,4256,16435,8678
2023-12-03,4306,16236,8655
2023-12-10,4390,16428,8689
2023-12-17,4325,15816,8586
2023-12-24,3772,14378,8096
